市,1人,2人,3~5人,6人,7人以上
札幌市,36000,43000,46000,50000,56000
仙台市,37000,44000,48000,52000,58000
さいたま市,45000,54000,59000,63000,70000
千葉市,41000,49000,53000,57000,64000
横浜市,52000,62000,68000,73000,81000
川崎市,53700,64000,69800,75000,83800
相模原市,41000,49000,53000,57000,64000
新潟市,35500,43000,46200,50000,55400
静岡市,39000,47000,51000,55000,61000
浜松市,37700,45000,49000,53000,59000
名古屋市,37000,44000,48000,52000,58000
京都市,40000,48000,52000,56000,62000
大阪市,40000,48000,52000,56000,62000
堺市,38000,46000,49000,53000,59000
神戸市,40000,48000,52000,56000,62000
岡山市,37000,44000,48000,52000,58000
広島市,38000,46000,49000,53000,59000
北九州市,29000,35000,38000,41000,45000
福岡市,36000,43000,47000,50000,56000
熊本市,31100,37000,40400,44000,49000
函館市,30000,36000,39000,42000,47000
旭川市,28000,34000,36000,39000,44000
青森市,31000,37000,40300,43000,48000
八戸市,30000,36000,39000,42000,47000
盛岡市,31000,37000,40000,43000,48000
秋田市,32000,38000,42000,45000,50000
山形市,35000,42000,46000,49000,55000
郡山市,30000,36000,39000,42000,47000
いわき市,35000,42000,46000,49000,55000
福島市,36000,43000,47000,50000,56000
水戸市,35400,42000,46000,50000,55000
宇都宮市,38100,46000,49500,53000,59400
前橋市,34200,41000,44500,48000,53400
高崎市,34200,41000,44500,48000,53400
川越市,42000,50000,55000,59000,66000
越谷市,43000,52000,56000,60000,67000
川口市,47700,57000,62000,67000,74400
船橋市,43000,52000,56000,60000,67000
柏市,41000,49000,53000,57000,64000
八王子市,53700,64000,69800,75000,83800
横須賀市,44000,53000,57000,62000,69000
富山市,33000,40000,43000,46000,51000
金沢市,33000,40000,43000,46000,51000
福井市,32000,38000,41000,45000,49000
甲府市,29000,35000,38000,41000,45000
長野市,36000,43000,47000,50000,56000
松本市,35000,42000,46000,49000,55000
岐阜市,32000,38000,41600,45000,50000
豊橋市,35000,42000,46000,49000,55000
岡崎市,37000,44000,48000,52000,57000
豊田市,37400,45000,48600,52000,58300
一宮市,37000,44000,48100,52000,58000
大津市,39000,47000,51000,55000,61000
枚方市,38000,46000,49000,53000,59000
八尾市,39000,47000,51000,55000,61000
寝屋川市,39000,47000,51000,55000,61000
豊中市,42000,50000,55000,59000,66000
高槻市,39000,47000,51000,55000,61000
東大阪市,38000,46000,49000,53000,59000
吹田市,39000,47000,51000,55000,61000
姫路市,38000,46000,49000,53000,59000
尼崎市,42500,51000,55300,60000,66400
明石市,40000,48000,52000,56000,62000
西宮市,42500,51000,55300,60000,66400
奈良市,38000,46000,49000,53000,59000
和歌山市,34000,41000,44000,48000,53000
鳥取市,32000,38000,42000,45000,50000
松江市,34000,41000,44000,48000,53000
倉敷市,35000,42000,46000,49000,55000
福山市,34000,41000,44000,48000,53000
呉市,35000,42000,46000,49000,55000
下関市,29000,35000,38000,41000,45000
高松市,37000,44000,48000,52000,58000
松山市,32000,38000,42000,45000,50000
高知市,32000,38000,42000,45000,50000
久留米市,31000,37000,40000,43000,48000
長崎市,36000,43000,47000,50000,56000
佐世保市,32000,38000,42000,45000,50000
大分市,29000,35000,38000,41000,45000
宮崎市,29500,35000,38300,41000,46000
鹿児島市,31600,38000,41100,44000,49300
那覇市,32000,38000,41800,45000,50000
